user_id,username,password,role
38,testtest1,testtest1,law
5,v2law1,v2law1,law
40,myhouse1,myhouse1,house
14,v1house2,v1house2,house
20,v1house8,v1house8,house
19,v1house7,v1house7,house
18,v1house6,v1house6,house
1,admin1,admin1,admin
2,admin2,admin2,admin
3,admin3,admin3,admin
7,v2law2,v2law2,law
15,v1house3,v1house3,house
9,v3law1,v3law1,law
10,v3law2,v3law2,law
12,v2law3,v2law3,law
13,v3law3,v3law3,law
16,v1house4,v1house4,house
17,v1house5,v1house5,house
21,v2house1,v2house1,house
22,v2house2,v2house2,house
23,v2house3,v2house3,house
24,v2house4,v2house4,house
36,v3house8,v3house8,house
34,v3house6,v3house6,house
31,v3house3,v3house3,house
32,v3house4,v3house4,house
33,v3house5,v3house5,house
35,v3house7,v3house7,house
30,v3house2,v3house2,house
29,v3house1,v3house1,house
28,v2house8,v2house8,house
27,v2house7,v2house7,house
11,v1law3,v1law3,law
26,v2house6,v2house6,house
25,v2house5,v2house5,house
6,v1law2,v1law2,law
4,v1law1,v1law1,law
8,v2law3,v2law3,law
